vehicle,location,price,closing date
2008 FORD TAURUS,"Denver, CO"," 3,923 USD",03/05 10:00 AM CT
2015 JEEP WRANGLER,"North Bend, OR","24,616 USD",03/05 10:00 AM CT
2014 FORD EXPEDITION,"Palm Springs, CA","10,092 USD",03/05 10:01 AM CT
2007 DODGE CARAVAN VAN SALVAGE,"Denver, CO",    12 USD,03/05 10:01 AM CT
2015 FORD F-150 4X4 CREW CAB TRUCK,"Yellowstone National Park, WY","21,920 USD",03/05 10:02 AM CT
2016 JEEP WRANGLER,"Palm Springs, CA","25,168 USD",03/05 10:11 AM CT
2006 CHEVROLET SILVERADO 3500 4X4 TRUCK,"Moose, WY","10,215 USD",03/05 10:12 AM CT
2009 JEEP WRANGLER,"Palm Springs, CA","17,829 USD",03/05 10:21 AM CT
2006 CHEVROLET TAHOE 4X4 4 DOOR SUV,"Fruita, CO"," 3,684 USD",03/05 10:22 AM CT
2015 DODGE RAM 3500,"Winnemucca, NV","36,185 USD",03/05 10:31 AM CT
1999 FORD F150 LONG BED TRUCK,"Fruita, CO",   864 USD,03/05 10:32 AM CT
2015 FORD F150,"Cheyenne, WY","16,166 USD",03/05 10:41 AM CT
1992 DODGE RAM D250 TRUCK,"Fruita, CO"," 2,722 USD",03/05 10:42 AM CT
2009 DODGE RAM 2500,"Moab, UT","15,001 USD",03/05 10:51 AM CT
2005 CHEVROLET TRAILBLAZER,"Fruita, CO"," 2,132 USD",03/05 10:52 AM CT
2009 FORD F150,"Moab, UT","12,073 USD",03/05 11:01 AM CT
2014 JEEP PATRIOT,"Palm Springs, CA"," 7,379 USD",03/05 11:11 AM CT
2015 CHEVROLET SILVERADO 1500,"Redding, CA","14,072 USD",03/05 11:21 AM CT
2010 JEEP WRANGLER RUBICON,"Susanville, CA","17,185 USD",03/05 11:31 AM CT
2015 FORD F150,"Worland, WY","15,044 USD",03/05 11:41 AM CT
2008 FORD F250,"Susanville, CA"," 8,572 USD",03/05 11:51 AM CT
2010 FORD F-150,"Charleston, SC","14,670 USD",03/05 06:00 PM CT
2013 FORD F-150,"Columbia, SC"," 3,309 USD",03/05 06:10 PM CT
2013 FORD F-150,"Columbia, SC"," 3,284 USD",03/05 06:20 PM CT
2007 DODGE RAM,"Columbia, SC"," 2,600 USD",03/05 06:30 PM CT
2013 FORD F-150,"Columbia, SC"," 3,734 USD",03/05 06:40 PM CT
1992 CHEVROLET GMT-400,"Vesuvius, VA",   100 USD,03/07 03:00 PM CT
2010 DODGE GRAND CARAVAN,"Richmond, VA"," 9,810 USD",03/07 03:01 PM CT
2011 FORD ESCAPE,"Harrisburg, PA"," 2,501 USD",03/07 03:11 PM CT
2009 CHEVROLET SILVERADO,"East Lake, NC"," 6,000 USD",03/07 05:01 PM CT
2009 CHEVROLET SILVERADO,"East Lake, NC"," 6,500 USD",03/07 05:11 PM CT
2016 CHEVROLET EXPRESS G3500,"Murfreesboro, TN",   750 USD,03/08 05:00 PM CT
"TRUCKS AND TRACK TRACTORS, WHEELED","Murfreesboro, TN",   150 USD,03/08 05:10 PM CT
TIGER STAR EXTENDED CAB,"Murfreesboro, TN",   125 USD,03/08 05:20 PM CT
TIGER STAR TRUCK EXTENDED CA,"Murfreesboro, TN",   125 USD,03/08 05:30 PM CT
TIGER STAR EXTENDED CAB OFF ROAD,"Murfreesboro, TN",   125 USD,03/08 05:40 PM CT
VAN TIGER STAR PASSENGER,"Murfreesboro, TN",   100 USD,03/08 05:50 PM CT
2012 CHEVROLET COLORADO,"Phoenix, AZ"," 2,011 USD",03/09 10:00 AM CT
2008 FORD HYBRID ESCAPE,"Terminal Island, CA"," 1,500 USD",03/09 10:00 AM CT
2008 DODGE MAGNUM RWD,"Presidio Mtry, CA"," 4,572 USD",03/09 10:01 AM CT
2012 CHEVROLET COLORADO,"Phoenix, AZ"," 3,510 USD",03/09 10:10 AM CT
2006 CHEVROLET COBALT,"Fort Carson, CO"," 3,731 USD",03/09 10:11 AM CT
2017 CHEVROLET SILVERADO 1500,"Phoenix, AZ"," 4,560 USD",03/09 10:20 AM CT
2008 FORD RANGER PICK UP,"Phoenix, AZ",   900 USD,03/09 10:30 AM CT
2015 MANLIFT BUCKET TRUCK,"Elverta, CA","75,000 USD",03/09 10:41 AM CT
2011 BLUE ALL AMERICAN,"Norwalk, CA"," 4,370 USD",03/09 11:00 AM CT
2011 BLUE ALL AMERICAN,"Norwalk, CA","12,000 USD",03/09 11:00 AM CT
2014 FORD F350,"Norwalk, CA","18,026 USD",03/09 11:00 AM CT
2008 FREIGHTLNR M2112,"Norwalk, CA","19,950 USD",03/09 11:00 AM CT
2013 FORD CMAXHEV,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2010 INTL PC10500,"Piti, GU"," 5,000 USD",03/09 11:00 AM CT
2010 INTL PC10500,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD ESCAPE,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD E150,"Piti, GU"," 3,000 USD",03/09 11:00 AM CT
2013 FORD F250 MAINT UTILITY,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD F250,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD F250,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD F250,"Piti, GU"," 2,000 USD",03/09 11:00 AM CT
2013 FORD F250,"Piti, GU"," 2,200 USD",03/09 11:00 AM CT
